mode,genres,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key
1,21st century classical,0.979333333,0.162883333,160297.6667,0.071316667,0.60683367,0.3616,-31.51433333,0.040566667,75.3365,0.103783333,27.83333333,6
1,432hz,0.49478,0.299333333,1048887.333,0.450678333,0.477761667,0.131,-16.854,0.076816667,120.2856667,0.22175,52.5,5
1,8-bit,0.762,0.712,115177,0.818,0.876,0.126,-9.18,0.047,133.444,0.975,48,7
1,[],0.65141702,0.52909256,232880.8903,0.419146073,0.20530919,0.218695854,-12.28896468,0.107871559,112.8573524,0.513604296,20.85988219,7
1,a cappella,0.676557305,0.538961246,190628.5409,0.31643357,0.003003441,0.172254137,-12.47938742,0.08285144,112.110362,0.448248655,45.82007123,7
1,abstract,0.45921,0.516166667,343196.5,0.442416667,0.849666667,0.118066667,-15.47208333,0.046516667,127.88575,0.307325,43.5,1
1,abstract beats,0.342146667,0.623,229936.2,0.5278,0.333602612,0.099653333,-7.918,0.116373333,112.4138,0.493506667,58.93333333,10
1,abstract hip hop,0.243854063,0.694570937,231849.2342,0.646234642,0.024231263,0.16854292,-7.349327824,0.2142577,108.2449865,0.571390909,39.79070248,2
0,accordeon,0.323,0.588,164000,0.392,0.441,0.0794,-14.899,0.0727,109.131,0.709,39,2
1,accordion,0.446125,0.6248125,167061.5625,0.3734375,0.193738394,0.1603,-14.4870625,0.0785375,112.8724375,0.6586875,21.9375,2
0,acid house,0.067950538,0.6774,297188.0538,0.724403077,0.385891031,0.233488462,-9.3812,0.055855385,126.4920923,0.567676923,46.63846154,7
1,acid rock,0.256914508,0.447238993,259203.9143,0.580649295,0.150925677,0.230451463,-11.43307331,0.067599853,125.6595223,0.534447478,32.67595533,2
1,acid trance,0.00683,0.663,221160,0.925,0.703,0.185,-6.775,0.0449,132.687,0.843,62,9
1,acousmatic,0.917019106,0.420458285,185040.2596,0.238524342,0.616248413,0.261006182,-20.96456475,0.080617739,104.0746327,0.324447385,9.342524155,5
1,acoustic blues,0.761723539,0.606914772,204321.2509,0.360659295,0.098918136,0.183098214,-12.55490506,0.068815364,113.2845212,0.633785722,23.74606008,7
1,acoustic pop,0.490235026,0.535108317,235379.7836,0.476439922,0.03333828,0.157750499,-9.297247893,0.041770665,117.8874198,0.379415353,53.11550475,7
1,acoustic punk,0.404900022,0.53911157,192332.1185,0.615824151,0.061939951,0.209480624,-8.010774105,0.063570523,122.3084885,0.730518825,40.37649219,9
1,acoustic rock,0.613200794,0.524396825,195036,0.416002646,0.321474922,0.140518386,-10.54062037,0.034681085,122.6556627,0.380298677,51.10978836,7
0,action rock,0.229,0.412,198400,0.938,0.000259,0.106,-0.253,0.182,97.489,0.32,47,4
1,adoracion,0.432857143,0.504714286,302906.0714,0.52075,0,0.315985714,-8.010071429,0.038203571,130.7106786,0.311571429,46.39285714,9
1,adult standards,0.655648376,0.496327635,197331.5016,0.382053582,0.118193574,0.196776744,-12.22177628,0.053157818,113.3811766,0.499376181,31.63490211,0
1,adventista,0.784143333,0.5315,202876.65,0.319383333,7.45E-06,0.14129,-9.338766667,0.028986667,113.38845,0.514516667,27.26666667,6
1,afghan pop,0.410628571,0.651714286,326503.9286,0.651571429,0.000911163,0.087460714,-9.152178571,0.084414286,113.5947143,0.784107143,39.32142857,7
1,afghan traditional,0.958,0.440333333,278581.3333,0.323666667,0.400706667,0.177666667,-14.49766667,0.146033333,94.06966667,0.710666667,6.333333333,1
0,african percussion,0.327,0.600363636,289556.2727,0.789727273,0.257380691,0.127872727,-6.729636364,0.079709091,130.1315455,0.445727273,15.45454545,0
1,african reggae,0.2458,0.753,267673.375,0.662125,0.003534624,0.111225,-7.446875,0.05889375,116.5645,0.771,45.8125,7
1,african rock,0.139856504,0.668895833,236075.3125,0.6110625,0.09379615,0.14969375,-9.36175,0.072654167,115.7093125,0.606458333,42.27083333,8
1,african-american classical,0.92553414,0.283975667,218619.1002,0.142194922,0.432027262,0.143354066,-24.61947207,0.058810475,132.728932,0.264464417,30.64944134,5
0,afro dancehall,0.143900248,0.643458333,199565.2285,0.764681818,0.007226254,0.16877702,-5.698983586,0.160152146,131.9640896,0.619359848,44.13510101,11
1,afro house,0.321666667,0.636,236572.3333,0.570666667,0.133567333,0.125833333,-10.10383333,0.127033333,139.698,0.6205,48.33333333,6
1,afro psych,0.228066667,0.624333333,331866.6667,0.722,0.144969243,0.233333333,-10.92633333,0.054533333,111.682,0.830333333,36,7
0,afro soul,0.00627,0.766,202627,0.873,0,0.0764,-6.381,0.143,126.988,0.743,77,11
1,afro-funk,0.137559259,0.803148148,286121.4815,0.724296296,0.079840422,0.093703704,-8.909833333,0.095946296,114.1736296,0.87962963,28.33333333,0
1,afrobeat,0.360871807,0.63296103,320584.2171,0.619076388,0.314023765,0.152058554,-9.931080518,0.060377693,117.1086218,0.710820172,39.99435662,0
1,afrofuturism,0.248163459,0.633518977,288939.4317,0.581705356,0.127961145,0.197545279,-9.079584288,0.141947564,110.5006932,0.458838304,45.43323476,7
0,afrofuturismo brasileiro,0.626,0.484,247120,0.81,0.000283,0.11,-4.579,0.0377,144.454,0.422,37,7
1,afropop,0.436659746,0.625803213,309968.9753,0.53452464,0.151395688,0.159884035,-11.09149876,0.077084721,116.542459,0.648471126,41.38034148,7
0,afroswing,0.31845,0.71175,179995.375,0.5801875,0.000257895,0.18995,-7.0166875,0.1955625,83.250125,0.676625,77.3125,11
1,aggrotech,0.01186776,0.601333333,236315,0.712333333,0.252,0.259666667,-6.408,0.034233333,116.7213333,0.443333333,55.66666667,1
1,alabama indie,0.323277602,0.557375,242200.6364,0.626147727,0.057432374,0.119279545,-8.763204545,0.048718182,120.2792841,0.524670455,47.63636364,7
1,alabama metal,0.002748,0.4065,199820,0.866,1.11E-06,0.1406,-3.666,0.0741,110.375,0.446,49.5,6
1,alabama rap,0.140772734,0.686115128,224676.3195,0.61188968,0.000470737,0.16230897,-6.678095261,0.16944652,114.1104854,0.469435428,53.22484523,2
1,alaska indie,0.133866667,0.739666667,186644.3333,0.464666667,7.75E-05,0.0832,-9.337,0.047233333,134.4146667,0.739333333,56.33333333,6
0,albanian pop,0.00287,0.683,187106,0.665,0,0.0839,-8.405,0.0499,127.968,0.667,42,8
1,albany ny indie,0.000564,0.852,215427,0.251,0.756,0.0957,-13.225,0.0683,141.759,0.186,0,8
1,alberta country,0.207767262,0.593991667,206540.95,0.73497381,1.96E-05,0.225803333,-6.57517619,0.055758095,113.514131,0.596814286,51.49047619,4
0,alberta hip hop,0.33,0.885,144000,0.685,0,0.148,-6.429,0.0627,99.954,0.937,78.5,11
1,album rock,0.186182455,0.51203061,268948.225,0.660417389,0.073721892,0.214889534,-9.885866902,0.056725599,124.2165272,0.551887282,38.26057679,9
1,albuquerque indie,0.350214593,0.562101852,227711.3519,0.587453704,0.016405615,0.180373148,-8.425898148,0.033461111,126.2257315,0.59212963,51.11111111,9
1,alt-idol,0.000304725,0.46625,240353.75,0.96625,0.22580875,0.3509,-2.62325,0.16655,131.12875,0.38475,60.25,1
1,alte,0.0692,0.797,188889,0.567,0,0.0705,-7.503,0.0651,108.024,0.843,66,2
1,alternative americana,0.348219271,0.493904514,224527.2986,0.498263889,0.171225078,0.191252951,-9.795267361,0.046948785,125.1544184,0.444696181,49.82291667,7
1,alternative country,0.407115058,0.542579667,249887.8559,0.518155241,0.039372665,0.174722835,-10.29023563,0.045160444,120.2677729,0.513762141,42.85791918,9
1,alternative dance,0.151805707,0.60406644,268439.2937,0.737019026,0.21127096,0.191464645,-6.63747884,0.054930511,126.0957229,0.52606169,51.0524988,2
1,alternative emo,0.128122262,0.494807981,216945.0483,0.715872926,0.043942486,0.189291965,-7.037806589,0.072116574,130.5986643,0.443147454,47.24684037,5
